0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0.007496535214784217,0.008945078847176546,1.0,0.009701398513342951,0.0038395372609585365,1.0,0.00603964045708949,0.0007988540576207015,1.0,0.009434576094761837,0.00452588857461933,1.0,0.009851517474402272,0.008282808203290415,1.0,0.009155816883691159,0.0016031350196072935,1.0,0.1855286016283344,0.008100375719521935,1.0,0.17485321124645736,0.001827254199142203,1.0,0.002252823962450634,0.003436215254382091,1.0,0.0,0.0,1.0,0.007093173468781799,0.002119111384182304,0.007248018120044719,0.01332845561317697,0.006384436130105087,0.009361879192312017,0.09785165552910513,0.09811485516370766,0.0,0.008261134094809108
0.012788207131166018,0.005383360521975078,0.5324238518844879,0.007402041073476084,0.0014709915479897973,1.0,0.009470609918636796,0.005206324720319344,1.0,0.007059665560561257,0.009494527118434348,1.0,0.012151151236366786,0.0002981810952746855,1.0,0.002659946801131241,0.007332858330357794,1.0,0.18684722774553109,0.003378029023465956,1.0,0.18744988489690684,0.01391524351679152,0.9993858436972118,0.003966239370470248,0.00018408296010363756,0.5342726687022434,0.0,0.0,0.5362610469068869,0.009988339064349816,0.007411978292729771,0.007743726430014419,0.005756903636886079,0.009956889507854783,0.0040303150503504526,0.10466372705909066,0.10181957031519318,0.0,0.007589544528762815
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.007496535214784217,0.008890701468175166,1.0,0.009669900466207082,0.0038395372609585365,1.0,0.00603964045708949,0.0007988540576207015,1.0,0.009434576094761837,0.00452588857461933,1.0,0.009851517474402272,0.008282808203290415,1.0,0.009155816883691159,0.0016031350196072935,1.0,0.1855286016283344,0.008100375719521935,1.0,0.17485321124645736,0.001827254199142203,1.0,0.002252823962450634,0.003436215254382091,1.0,0.0,0.0,1.0,0.007162790995046464,0.002119111384182304,0.007248018120044719,0.01332845561317697,0.006384436130105087,0.009361879192312017,0.09785165552910513,0.09811485516370766,0.0,0.008130758802131766
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.004472722691176045,0.012642740619924098,0.36541665356926956,0.005858636764571656,0.005410257049518918,1.0,0.00507556639354334,0.007575340201583458,1.0,0.011158826208585992,0.002779485918068758,1.0,0.003917894557517343,0.004870291223525669,1.0,0.005459890802200107,0.004007837548940074,1.0,0.18582162965441285,0.0058943159491491315,0.3654712789591059,0.1740772354568918,0.004111321948116142,0.36514151184806565,0.0011422769386939535,0.0,0.36325947505534373,0.0,0.0,0.3676410605030611,0.0025982255344985106,0.010535725288875142,0.0010345051115123738,0.012860296807573945,0.0016680599334861768,0.00078546472501273,0.10333103638423324,0.09663820198260709,0.0,0.014816188758345561
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.009008441476652251,0.011201740076131728,0.9845660579008353,0.00973289656046461,0.0009723503452789828,1.0,0.005415827827704334,0.0007713073659658676,1.0,0.01037803370417123,0.0046488746771586875,1.0,0.008062913437242969,0.009674319981442636,1.0,0.008623827523479122,0.001098444365268847,1.0,0.18609372710714922,0.008203784771268374,1.0,0.1745945526499213,0.0028111603064076007,0.9862582527252926,0.0016499555781166464,0.0034362152543678803,0.9851536457603487,0.0,0.0,0.9861590754588292,0.006632845335786897,0.0032947583025375593,0.010173459777099936,0.01505356538319802,0.004530226026624007,0.009232416075427352,0.09921967347047911,0.09772647738905249,0.0,0.010140599224556013
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
