event_id,begin_time_utc,begin_lat,begin_lon,cape,cin,temp_2m,dewpoint_2m,surface_pressure,tcwv,shear_0_1km,shear_0_3km,ef_category,ef_binary,tor_f_scale_raw,cz_timezone,begin_date_time_raw
753163,2018-06-07T01:00:00+00:00,40.9,-101.79,2118.75,305.1719055175781,297.931396484375,292.2748718261719,89139.875,32.506500244140625,0.48318177315918787,15.857523853372873,0.0,0,EF0,MST-7,06-JUN-18 18:24:00
749421,2018-05-30T13:00:00+00:00,27.1902,-81.7471,728.0,113.64234924316406,297.9287109375,296.44873046875,101280.125,60.6073112487793,12.127822334140056,12.501492207114831,0.0,0,EF0,EST-5,30-MAY-18 08:01:00
741682,2018-03-19T02:00:00+00:00,36.0558,-100.2582,934.6875,112.84513854980469,285.9320068359375,280.8603515625,91235.125,13.610167503356934,10.442735900135126,19.918381462757374,1.0,0,EF1,CST-6,18-MAR-18 20:18:00
739432,2018-03-19T00:00:00+00:00,36.13,-101.19,156.0,,291.51898193359375,271.90228271484375,89194.375,8.284371376037598,4.904614607384507,13.08273778355337,0.0,0,EF0,CST-6,18-MAR-18 18:29:00
741681,2018-03-19T02:00:00+00:00,36.0248,-100.2995,673.3125,172.7982635498047,285.5491943359375,280.82421875,90797.125,12.138487815856934,7.064209147511492,18.061260916511955,1.0,0,EF1,CST-6,18-MAR-18 20:14:00
754832,2018-05-24T22:00:00+00:00,31.52,-82.05,2291.125,50.730140686035156,299.462890625,296.344970703125,101210.1875,52.40280532836914,2.345051397233016,5.069185626894228,0.0,0,EF0,EST-5,24-MAY-18 17:15:00
739168,2018-01-22T07:00:00+00:00,38.5094,-90.8232,92.5,,287.76995849609375,286.5037841796875,98074.75,30.427658081054688,18.673877134920797,23.302993504108322,0.0,0,EF0,CST-6,22-JAN-18 01:12:00
756316,2018-05-15T00:00:00+00:00,37.09,-97.07,4110.25,391.3750305175781,300.606689453125,296.0069580078125,96822.5625,47.71643829345703,10.436747851779527,9.981214465086286,0.0,0,EF0,CST-6,14-MAY-18 17:40:00
739891,2018-02-07T10:00:00+00:00,30.96,-93.0201,491.125,1.9719668626785278,288.19488525390625,288.12274169921875,100851.3125,38.957008361816406,13.60814638959196,17.507054971301205,1.0,0,EF1,CST-6,07-FEB-18 03:48:00
736405,2018-02-11T10:00:00+00:00,30.9987,-85.3859,427.5,13.160086631774902,292.75921630859375,292.32452392578125,100958.4375,44.58919906616211,13.36924424731724,20.000281931626315,0.0,0,EF0,CST-6,11-FEB-18 03:42:00
788452,2018-12-01T20:00:00+00:00,39.4439,-90.851,718.8125,19.0592041015625,290.196533203125,285.1906433105469,96757.75,20.466079711914062,12.179332912612695,17.626023862481535,1.0,0,EF1,CST-6,01-DEC-18 13:54:00
788455,2018-12-01T22:00:00+00:00,39.031,-89.7523,189.0,10.343770027160645,289.865234375,286.88812255859375,97001.4375,17.777667999267578,14.895391841288019,19.365361381377618,1.0,0,EF1,CST-6,01-DEC-18 15:59:00
788459,2018-12-01T23:00:00+00:00,39.348,-89.4577,200.5,0.5937873721122742,288.2841796875,286.34429931640625,96875.5,18.520729064941406,17.623699341188495,16.585046250473546,0.0,0,EF0,CST-6,01-DEC-18 16:47:00
788458,2018-12-01T23:00:00+00:00,39.2584,-89.5486,298.625,12.12503719329834,287.8271484375,285.78765869140625,96835.5,19.343971252441406,16.169704841556108,16.120898535501652,1.0,0,EF1,CST-6,01-DEC-18 16:32:00
788454,2018-12-01T21:00:00+00:00,39.7272,-90.6537,600.75,7.437586307525635,289.058349609375,285.89544677734375,96757.8125,20.725448608398438,13.676515115344548,16.51077829231451,1.0,0,EF1,CST-6,01-DEC-18 14:40:00
788457,2018-12-01T22:00:00+00:00,39.1522,-89.6324,235.75,7.9062700271606445,289.5830078125,286.92523193359375,96759.4375,18.262042999267578,14.132854911478399,18.70143657126266,2.0,1,EF2,CST-6,01-DEC-18 16:16:00
788453,2018-12-01T20:00:00+00:00,39.6319,-90.7143,1007.0,18.9810791015625,289.443603515625,286.9797058105469,96823.75,20.701431274414062,12.664460280622647,16.158679907673246,0.0,0,EF0,CST-6,01-DEC-18 14:29:00
742658,2018-02-24T23:00:00+00:00,35.4534,-91.0543,36.6875,7.343754291534424,292.76190185546875,290.5895080566406,99609.25,43.88206481933594,21.213619918683904,30.970968875553204,0.0,0,EF0,CST-6,24-FEB-18 17:11:00
735190,2018-01-22T07:00:00+00:00,35.1771,-92.3648,783.0625,9.687621116638184,289.94671630859375,288.4481201171875,98934.75,32.92082214355469,20.501071687208537,24.277160748941238,1.0,0,EF1,CST-6,22-JAN-18 00:49:00
731013,2018-02-10T23:00:00+00:00,32.7853,-89.133,157.1875,9.873507499694824,291.216064453125,290.6191101074219,99445.3125,40.448150634765625,10.596454702621791,15.571675852971712,0.0,0,EF0,CST-6,10-FEB-18 16:50:00
751008,2018-04-15T19:00:00+00:00,35.085,-81.116,757.25,5.370777606964111,294.936279296875,291.85162353515625,98511.8125,43.86349868774414,16.934986521869657,26.176587967539817,0.0,0,EF0,EST-5,15-APR-18 13:58:00
731511,2018-02-12T20:00:00+00:00,36.6685,-119.5134,9.0,,283.16644287109375,278.97216796875,96767.5,11.46133804321289,0.3545800099612487,2.6730073347795837,0.0,0,EF0,PST-8,12-FEB-18 11:30:00
753988,2018-06-29T15:00:00+00:00,28.0124,-82.3923,1928.125,35.76564025878906,301.595703125,297.4248046875,101585.8125,57.78406524658203,4.044350267736354,1.7767974402018427,0.0,0,EF0,EST-5,29-JUN-18 10:14:00
