event_id,begin_time_utc,begin_lat,begin_lon,cape,cin,temp_2m,dewpoint_2m,surface_pressure,tcwv,shear_0_1km,shear_0_3km,ef_category,ef_binary,tor_f_scale_raw,cz_timezone,begin_date_time_raw
1034259,2022-03-30T19:00:00+00:00,32.3733,-91.7256,262.0,306.20318603515625,295.932373046875,291.6360168457031,99309.75,44.20668029785156,22.971666331226512,28.53082191077332,0.0,0,EF0,CST-6,30-MAR-22 13:03:00
1034260,2022-03-30T19:00:00+00:00,32.1463,-91.6868,279.84375,229.9063262939453,295.816162109375,292.1018371582031,99399.75,43.35707092285156,23.919388968813116,28.176966132910284,1.0,0,EF1,CST-6,30-MAR-22 13:10:00
1035604,2022-03-31T01:00:00+00:00,32.186,-88.8433,38.84375,358.23443603515625,294.370361328125,291.3796691894531,98607.4375,45.468406677246094,21.16206664055791,33.14885650219235,0.0,0,EF0,CST-6,30-MAR-22 19:01:00
1035753,2022-03-30T23:00:00+00:00,32.931,-89.512,370.40625,,294.26806640625,289.9915771484375,98357.3125,38.796077728271484,21.70210233840673,30.374854487612307,1.0,0,EF1,CST-6,30-MAR-22 16:36:00
1035751,2022-03-30T22:00:00+00:00,32.341,-90.117,623.78125,,294.055908203125,290.57421875,98729.5,38.89308547973633,21.631898918343026,28.242346580535493,0.0,0,EF0,CST-6,30-MAR-22 15:50:00
1035756,2022-03-31T01:00:00+00:00,31.201,-89.349,414.875,75.84381866455078,294.860595703125,291.9450988769531,99096.4375,49.068016052246094,23.481785965531174,26.37364287997168,0.0,0,EF0,CST-6,30-MAR-22 18:47:00
1035745,2022-03-30T21:00:00+00:00,32.465,-90.6,173.03125,256.71026611328125,296.255859375,291.97406005859375,98833.4375,43.77165985107422,27.113052815832233,32.140587018470306,1.0,0,EF1,CST-6,30-MAR-22 14:43:00
1051691,2022-03-22T18:00:00+00:00,32.66,-90.245,825.84375,64.25035858154297,293.06103515625,290.891357421875,99647.0625,43.75890350341797,19.29587011312076,27.69781546839875,0.0,0,EF0,CST-6,22-MAR-22 11:38:00
1012275,2022-03-22T18:00:00+00:00,33.0779,-89.7654,473.375,96.92223358154297,293.56201171875,289.285888671875,99257.0625,42.68273162841797,19.111514627427166,25.232671742723756,1.0,0,EF1,CST-6,22-MAR-22 12:14:00
1012367,2022-03-22T20:00:00+00:00,32.1109,-89.4196,745.1875,1.0781407356262207,292.143310546875,290.62158203125,99111.5,44.05962371826172,20.61390155398807,28.303615975564064,0.0,0,EF0,CST-6,22-MAR-22 13:34:00
1036194,2022-07-23T15:00:00+00:00,40.0421,-84.23,511.125,143.62767028808594,299.22607421875,294.598876953125,98574.4375,40.58738708496094,8.261649341135337,16.686039322704556,1.0,0,EF1,EST-5,23-JUL-22 09:45:00
1013708,2022-03-21T22:00:00+00:00,33.5182,-97.8369,304.3125,2.031489133834839,291.492431640625,290.539794921875,96374.9375,32.53001403808594,12.577706858816219,26.024453501852065,1.0,0,EF1,CST-6,21-MAR-22 15:34:00
1012499,2022-03-22T18:00:00+00:00,32.79,-89.97,624.6875,73.29723358154297,293.27587890625,290.294677734375,99520.0625,43.11632537841797,17.879812852125216,26.13245523654441,1.0,0,EF1,CST-6,22-MAR-22 11:59:00
1012278,2022-03-22T18:00:00+00:00,33.4021,-89.933,340.1875,177.09410095214844,292.33642578125,288.899169921875,99490.0625,43.11046600341797,18.441028644101713,27.833563858914484,0.0,0,EF0,CST-6,22-MAR-22 12:16:00
1012495,2022-03-22T20:00:00+00:00,33.0475,-88.5701,268.0625,47.79689025878906,292.723388671875,290.27392578125,99557.5,42.25786590576172,20.574492016074284,25.617815061808006,1.0,0,EF1,CST-6,22-MAR-22 14:17:00
1012391,2022-03-22T20:00:00+00:00,32.6016,-88.8976,477.90625,10.875015258789062,292.063232421875,290.37451171875,99045.5,43.25884246826172,20.432299357349113,26.705499306178492,3.0,1,EF3,CST-6,22-MAR-22 13:35:00
1012496,2022-03-22T21:00:00+00:00,32.4093,-88.5061,257.8125,47.547142028808594,292.220703125,290.28955078125,99707.3125,40.31376647949219,21.368188882178867,26.912058983525284,0.0,0,EF0,CST-6,22-MAR-22 15:04:00
1021120,2022-05-09T20:00:00+00:00,25.0534,-80.4794,1564.25,187.967041015625,299.696533203125,295.82275390625,101404.375,29.414508819580078,4.746009375224004,5.016797915923115,0.0,0,EF0,EST-5,09-MAY-22 15:05:00
1034257,2022-03-30T21:00:00+00:00,33.332,-90.17,127.375,,296.9755859375,291.11273193359375,98683.4375,39.89763641357422,30.73707362411064,32.735734482400225,1.0,0,EF1,CST-6,30-MAR-22 15:24:00
1034258,2022-03-30T19:00:00+00:00,32.4718,-91.8204,327.0,193.5000762939453,295.546630859375,291.9836730957031,99221.75,47.07875061035156,24.474511929108107,30.60393268983252,1.0,0,EF1,CST-6,30-MAR-22 12:53:00
1035608,2022-03-31T02:00:00+00:00,32.3844,-88.4942,59.375,65.8281478881836,294.128173828125,291.568603515625,98984.9375,45.718048095703125,21.967775693161297,36.56070323210152,1.0,0,EF1,CST-6,30-MAR-22 19:31:00
